#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Mb)	GC%	Chromosomes/RefSeq	Chromosomes/INSDC	Plasmids/RefSeq	Plasmids/INSDC	WGS	Scaffolds	Genes	Proteins	Release Date	Modify Date	Status	Center	BioSample Accession	Assembly Accession	Reference	superkingdom	phylum	class	order	family	genus	species
Methanolobus psychrophilus R15	1094980	PRJNA74005	74005	Euryarchaeota	Methanomicrobia	3.07277	44.6	NC_018876.1	CP003083.1	-	-	-	1	3229	3167	2012/10/18	2013/12/11	Complete	Beijing Institute of Genomics	SAMN00739943	GCA_000306725.1	REPR	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanolobus	Methanolobus psychrophilus
Nanoarchaeum equitans Kin4-M	228908	PRJNA9599	9599	Nanoarchaeota	Nanoarchaeum	0.490885	31.6	NC_005213.1	AE017199.1	-	-	-	1	585	540	2003/11/17	2014/01/30	Complete	DIVERSA	SAMN02603208	GCA_000008085.1	REPR	Archaea	Nanoarchaeota	NA	NA	NA	Nanoarchaeum	Nanoarchaeum equitans
Candidatus Methanomethylophilus alvus Mx1201	1236689	PRJNA175948	175948	Euryarchaeota	unclassified Euryarchaeota	1.6668	55.6	NC_020913.1	CP004049.1	-	-	-	1	1698	1651	2013/04/09	2013/11/13	Complete	Université d'Auvergne	-	GCA_000300255.2	REPR	Archaea	Euryarchaeota	NA	NA	NA	Candidatus Methanomethylophilus	Candidatus Methanomethylophilus alvus
Natrinema pellirubrum DSM 15624	797303	PRJNA52951	52951	Euryarchaeota	Halobacteria	4.3541	63.9597	NC_019962.1	CP003372.1	NC_019963.1,NC_019967.1	CP003374.1,CP003373.1	-	3	4461	4199	2012/12/27	2013/07/22	Complete	JGI	SAMN02261373	GCA_000230735.3	REPR	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natrinema	Natrinema pellirubrum
Picrophilus torridus DSM 9790	263820	PRJNA10641	10641	Euryarchaeota	Thermoplasmata	1.5459	36	NC_005877.1	AE017261.1	-	-	-	1	1587	1537	2004/06/08	2014/01/30	Complete	Institut of Microbiology and Genetics, University of Goettingen	SAMN02603345	GCA_000008265.1	REPR	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Picrophilaceae	Picrophilus	Picrophilus torridus
Acidianus hospitalis W1	933801	PRJNA60875	60875	Crenarchaeota	Thermoprotei	2.13765	34.1	NC_015518.1	CP002535.1	-	-	-	1	2424	2329	2011/05/12	2014/01/30	Complete	Archaea Centre, Department of Biology, University of Copenhagen, Copenhagen 2200 N, Denmark	SAMN02602984	GCA_000213215.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Acidianus	Acidianus hospitalis
Pyrobaculum calidifontis JCM 11548	410359	PRJNA18111	18111	Crenarchaeota	Thermoprotei	2.00931	57.2	NC_009073.1	CP000561.1	-	-	-	1	2200	2149	2007/02/27	2013/12/11	Complete	DOE Joint Genome Institute	SAMN00623060	GCA_000015805.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum calidifontis
Thermococcus onnurineus NA1	523850	PRJNA20773	20773	Euryarchaeota	Thermococci	1.84761	51.3	NC_011529.1	CP000855.1	-	-	-	1	2026	1975	2008/11/06	2013/06/10	Complete	Korea Ocean Research & Development Institute	SAMN02603476	GCA_000018365.1	REPR	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus onnurineus
Ignisphaera aggregans DSM 17230	583356	PRJNA33361	33361	Crenarchaeota	Thermoprotei	1.87595	35.7	NC_014471.1	CP002098.1	-	-	-	1	2042	1930	2010/08/24	2014/01/02	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN00016987	GCA_000145985.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignisphaera	Ignisphaera aggregans
Methanococcus voltae A3	456320	PRJNA20131	20131	Euryarchaeota	Methanococci	1.93639	28.6	NC_014222.1	CP002057.1	-	-	-	1	1768	1717	2010/06/03	2013/12/11	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN00000040	GCA_000006175.2	REPR	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus voltae
Thermoplasma volcanium GSS1	273116	PRJNA206	206	Euryarchaeota	Thermoplasmata	1.5848	39.9	NC_002689.2	BA000011.4	-	-	-	1	1550	1501	2001/03/22	2013/06/10	Complete	National Institute of Advanced Industrial Science and Technology, Japan	-	GCA_000011185.1	REPR	Archaea	Euryarchaeota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	Thermoplasma volcanium
Natrialba magadii ATCC 43099	547559	PRJNA30691	30691	Euryarchaeota	Halobacteria	4.44364	61.032	NC_013922.1	CP001932.1	NC_013925.1,NC_013923.1,NC_013924.1	CP001935.1,CP001933.1,CP001934.1	-	4	4364	4212	2010/02/24	2014/01/28	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN02598473	GCA_000025625.1	REPR	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natrialba	Natrialba magadii
Methanococcus vannielii SB	406327	PRJNA17889	17889	Euryarchaeota	Methanococci	1.72005	31.3	NC_009634.1	CP000742.1	-	-	-	1	1752	1678	2007/06/29	2014/01/28	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN02598403	GCA_000017165.1	REPR	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanococcus	Methanococcus vannielii
Staphylothermus hellenicus DSM 12710	591019	PRJNA33683	33683	Crenarchaeota	Thermoprotei	1.58035	36.8	NC_014205.1	CP002051.1	-	-	-	1	1718	1599	2010/06/01	2013/12/11	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN00002730	GCA_000092465.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus	Staphylothermus hellenicus
Haloferax volcanii DS2	309800	PRJNA12524	12524	Euryarchaeota	Halobacteria	4.0129	65.4625	NC_013967.1	CP001956.1	NC_013968.1,NC_013965.1,NC_013966.1,NC_013964.1	CP001957.1,CP001954.1,CP001955.1,CP001953.1	-	5	4130	4015	2010/03/23	2013/06/08	Complete	TIGR	SAMN02604027	GCA_000025685.1	REPR	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloferax	Haloferax volcanii
Natronococcus occultus SP4	694430	PRJNA46985	46985	Euryarchaeota	Halobacteria	4.31412	64.6294	NC_019974.1	CP003929.1	NC_019976.1,NC_019975.1	CP003931.1,CP003930.1	-	3	4371	4154	2012/12/28	2013/07/22	Complete	JGI	SAMN02261263	GCA_000328685.1	REPR	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Natronococcus	Natronococcus occultus
Methanoplanus petrolearius DSM 11571	679926	PRJNA40773	40773	Euryarchaeota	Methanomicrobia	2.84329	47.4	NC_014507.1	CP002117.1	-	-	-	1	2881	2785	2010/09/17	2014/01/09	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN00017400	GCA_000147875.1	REPR	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoplanus	Methanoplanus petrolearius
Pyrobaculum arsenaticum DSM 13514	340102	PRJNA15582	15582	Crenarchaeota	Thermoprotei	2.12108	55.1	NC_009376.1	CP000660.1	-	-	-	1	2408	2299	2007/04/16	2014/01/28	Complete	DOE Joint Genome Institute	SAMN02598330	GCA_000016385.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum arsenaticum
Methanotorris igneus Kol 5	880724	PRJNA51821	51821	Euryarchaeota	Methanococci	1.8542	32.3	NC_015562.1	CP002737.1	-	-	-	1	1843	1772	2011/05/23	2013/07/06	Complete	US DOE Joint Genome Institute	SAMN00713627	GCA_000214415.1	REPR	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanocaldococcaceae	Methanotorris	Methanotorris igneus
Methanocella conradii HZ254	1041930	PRJNA73221	73221	Euryarchaeota	Methanomicrobia	2.37844	52.7	NC_017034.1	CP003243.1	-	-	-	1	2574	2455	2012/03/07	2014/01/30	Complete	China Agricultural University	SAMN02603117	GCA_000251105.1	REPR	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	Methanocella conradii
Methanocella paludicola SANAE	304371	PRJDA20361	20361	Euryarchaeota	Methanomicrobia	2.95763	54.9	NC_013665.1	AP011532.1	-	-	-	1	3064	3004	2009/12/26	2013/06/10	Complete	NITE	-	GCA_000011005.1	REPR	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	Methanocella paludicola
Methanosphaera stadtmanae DSM 3091	339860	PRJNA15579	15579	Euryarchaeota	Methanobacteria	1.7674	27.6	NC_007681.1	CP000102.1	-	-	-	1	1591	1535	2006/01/05	2013/06/10	Complete	University of Goettingen	SAMN02604180	GCA_000012545.1	REPR	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Methanosphaera stadtmanae
Pyrobaculum islandicum DSM 4184	384616	PRJNA16743	16743	Crenarchaeota	Thermoprotei	1.8264	49.6	NC_008701.1	CP000504.1	-	-	-	1	2063	1978	2006/12/20	2014/01/28	Complete	DOE Joint Genome Institute	SAMN02598374	GCA_000015205.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum islandicum
Pyrobaculum oguniense TE7	698757	PRJNA42375	42375	Crenarchaeota	Thermoprotei	2.45292	55.069	NC_016885.1	CP003316.1	NC_016886.1	CP003317.1	-	2	3014	2835	2012/02/10	2013/06/08	Complete	UCSC-Lowelab	SAMN02604076	GCA_000247545.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum oguniense
Methanosarcina barkeri str. Fusaro	269797	PRJNA103	103	Euryarchaeota	Methanomicrobia	4.87377	39.2575	NC_007355.1	CP000099.1	NC_007349.1	CP000098.1	-	2	3832	3625	2005/08/12	2014/01/28	Complete	DOE Joint Genome Institute	SAMN02598252	GCA_000195895.1	REPR	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanosarcina	Methanosarcina barkeri
Methanosaeta thermophila PT	349307	PRJNA15765	15765	Euryarchaeota	Methanomicrobia	1.87947	53.5	NC_008553.1	CP000477.1	-	-	-	1	1784	1696	2006/10/25	2014/01/28	Complete	US DOE Joint Genome Institute	SAMN02598350	GCA_000014945.1	REPR	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosaetaceae	Methanosaeta	Methanosaeta thermophila
Thermosphaera aggregans DSM 11486	633148	PRJNA36571	36571	Crenarchaeota	Thermoprotei	1.31659	46.7	NC_014160.1	CP001939.1	-	-	-	1	1458	1387	2010/05/17	2014/01/28	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN02598509	GCA_000092185.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Thermosphaera	Thermosphaera aggregans
Methanothermococcus okinawensis IH1	647113	PRJNA43653	43653	Euryarchaeota	Methanococci	1.67745	29.2777	NC_015636.1	CP002792.1	NC_015632.1	CP002793.1	-	2	1672	1595	2011/06/06	2013/07/06	Complete	US DOE Joint Genome Institute (JGI-PGF)	SRS105376	GCA_000179575.2	REPR	Archaea	Euryarchaeota	Methanococci	Methanococcales	Methanococcaceae	Methanothermococcus	Methanothermococcus okinawensis
Vulcanisaeta moutnovskia 768-28	985053	PRJNA63027	63027	Crenarchaeota	Thermoprotei	2.29898	42.4	NC_015151.1	CP002529.1	-	-	-	1	2393	2320	2011/02/22	2014/01/30	Complete	Centre Bioengineering RAS	SAMN02603092	GCA_000190315.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	Vulcanisaeta moutnovskia
Haloarcula hispanica N601	1417673	PRJNA227070	227070	Euryarchaeota	Halobacteria	3.9015	62.9656	NC_023010.2,NC_023013.1	CP006885.2,CP006884.1	NC_023012.1,NC_023011.1	CP006887.1,CP006886.1	-	4	3648	3574	2013/12/09	2014/01/09	Complete	Academia Sinica, Taipei, Taiwan	SAMN02393367	GCA_000504565.2	-	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Haloarcula	Haloarcula hispanica
Methanoregula boonei 6A8	456442	PRJNA18505	18505	Euryarchaeota	Methanomicrobia	2.54294	54.5	NC_009712.1	CP000780.1	-	-	-	1	2517	2452	2007/07/26	2014/01/28	Complete	US DOE Joint Genome Institute	SAMN02598409	GCA_000017625.1	REPR	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	Methanoregula boonei
Halorubrum lacusprofundi ATCC 49239	416348	PRJNA18455	18455	Euryarchaeota	Halobacteria	3.69258	63.9543	NC_012028.1,NC_012029.1	CP001366.1,CP001365.1	NC_012030.1	CP001367.1	-	3	3726	3560	2009/02/04	2014/01/28	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN02598407	GCA_000022205.1	REPR	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorubrum	Halorubrum lacusprofundi
Caldivirga maquilingensis IC-167	397948	PRJNA17421	17421	Crenarchaeota	Thermoprotei	2.07757	43.1	NC_009954.1	CP000852.1	-	-	-	1	2048	1963	2007/10/05	2013/12/11	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN00623034	GCA_000018305.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Caldivirga	Caldivirga maquilingensis
Methanocorpusculum labreanum Z	410358	PRJNA18109	18109	Euryarchaeota	Methanomicrobia	1.80496	50	NC_008942.1	CP000559.1	-	-	-	1	1822	1741	2007/02/01	2013/12/11	Complete	DOE Joint Genome Institute	SAMN00623052	GCA_000015765.1	REPR	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanocorpusculaceae	Methanocorpusculum	Methanocorpusculum labreanum
Methanobrevibacter smithii ATCC 35061	420247	PRJNA18653	18653	Euryarchaeota	Methanobacteria	1.85316	31	NC_009515.1	CP000678.1	-	-	-	1	1837	1793	2007/06/04	2013/06/10	Complete	Washington University Center for Genome Sciences	SAMN02604313	GCA_000016525.1	REPR	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii
Ferroglobus placidus DSM 10642	589924	PRJNA33635	33635	Euryarchaeota	Archaeoglobi	2.19627	44.1	NC_013849.1	CP001899.1	-	-	-	1	2621	2480	2010/02/16	2014/01/28	Complete	US DOE Joint Genome Institute	SAMN02598503	GCA_000025505.1	REPR	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Ferroglobus	Ferroglobus placidus
Methanosphaerula palustris E1-9c	521011	PRJNA29381	29381	Euryarchaeota	Methanomicrobia	2.92292	55.4	NC_011832.1	CP001338.1	-	-	-	1	2866	2655	2009/01/05	2013/12/24	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN00001866	GCA_000021965.1	REPR	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanosphaerula	Methanosphaerula palustris
Staphylothermus marinus F1	399550	PRJNA17449	17449	Crenarchaeota	Thermoprotei	1.57048	35.7	NC_009033.1	CP000575.1	-	-	-	1	1655	1573	2007/02/21	2014/01/28	Complete	US DOE Joint Genome Institute	SAMN02598390	GCA_000015945.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus	Staphylothermus marinus
Archaeoglobus profundus DSM 5631	572546	PRJNA32583	32583	Euryarchaeota	Archaeoglobi	1.56342	41.9961	NC_013741.1	CP001857.1	NC_013742.1	CP001858.1	-	2	1910	1823	2010/01/19	2013/12/20	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN00017459	GCA_000025285.1	REPR	Archaea	Euryarchaeota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae	Archaeoglobus	Archaeoglobus profundus
Hyperthermus butylicus DSM 5456	415426	PRJNA208	208	Crenarchaeota	Thermoprotei	1.66716	53.7	NC_008818.1	CP000493.1	-	-	-	1	1673	1603	2007/01/22	2013/06/10	Complete	Univ. Copenhagen	SAMN02604082	GCA_000015145.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Pyrodictiaceae	Hyperthermus	Hyperthermus butylicus
Methanohalobium evestigatum Z-7303	644295	PRJNA37945	37945	Euryarchaeota	Methanomicrobia	2.40623	36.3956	NC_014253.1	CP002069.1	NC_014254.1	CP002070.1	-	2	2437	2254	2010/06/15	2013/12/11	Complete	US DOE Joint Genome Institute	SAMN00015125	GCA_000196655.1	REPR	Archaea	Euryarchaeota	Methanomicrobia	Methanosarcinales	Methanosarcinaceae	Methanohalobium	Methanohalobium evestigatum
Vulcanisaeta distributa DSM 14429	572478	PRJNA32589	32589	Crenarchaeota	Thermoprotei	2.37414	45.4	NC_014537.1	CP002100.1	-	-	-	1	2592	2493	2010/09/22	2014/01/02	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN00017002	GCA_000148385.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Vulcanisaeta	Vulcanisaeta distributa
Desulfurococcus mucosus DSM 2162	765177	PRJNA48641	48641	Crenarchaeota	Thermoprotei	1.31464	53.1	NC_014961.1	CP002363.1	-	-	-	1	1421	1345	2011/01/20	2014/01/08	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN00103627	GCA_000186365.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus mucosus
Halorhabdus utahensis DSM 12940	519442	PRJNA29305	29305	Euryarchaeota	Halobacteria	3.1168	62.9	NC_013158.1	CP001687.1	-	-	-	1	3078	2998	2009/08/27	2013/12/24	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN00002611	GCA_000023945.1	REPR	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halorhabdus	Halorhabdus utahensis
Methanothermus fervidus DSM 2088	523846	PRJNA33689	33689	Euryarchaeota	Methanobacteria	1.24334	31.6	NC_014658.1	CP002278.1	-	-	-	1	1352	1283	2010/11/05	2013/07/17	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN02232040	GCA_000166095.1	REPR	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanothermaceae	Methanothermus	Methanothermus fervidus
Sulfolobus solfataricus P2	273057	PRJNA108	108	Crenarchaeota	Thermoprotei	2.99225	35.8	NC_002754.1	AE006641.1	-	-	-	1	3034	2978	2001/10/03	2014/01/30	Complete	European/Canadian Consortium	SAMN02603227	GCA_000007005.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus solfataricus
Sulfolobus acidocaldarius DSM 639	330779	PRJNA13935	13935	Crenarchaeota	Thermoprotei	2.22596	36.7	NC_007181.1	CP000077.1	-	-	-	1	2330	2224	2005/07/05	2014/01/30	Complete	Danish Archaea Centre	SAMN02603173	GCA_000012285.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Sulfolobales	Sulfolobaceae	Sulfolobus	Sulfolobus acidocaldarius
Halogeometricum borinquense DSM 11551	469382	PRJNA20743	20743	Euryarchaeota	Halobacteria	3.94447	59.9709	NC_014729.1	CP001690.1	NC_014737.1,NC_014731.1,NC_014735.1,NC_014736.1,NC_014732.1	CP001695.1,CP001692.1,CP001691.1,CP001693.1,CP001694.1	-	6	3993	3898	2010/11/22	2013/12/11	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN00002580	GCA_000172995.2	REPR	Archaea	Euryarchaeota	Halobacteria	Halobacteriales	Halobacteriaceae	Halogeometricum	Halogeometricum borinquense
Methanopyrus kandleri AV19	190192	PRJNA294	294	Euryarchaeota	Methanopyri	1.69497	61.2	NC_003551.1	AE009439.1	-	-	-	1	1729	1687	2002/02/04	2014/01/30	Complete	Fidelity Systems	SAMN02603235	GCA_000007185.1	REPR	Archaea	Euryarchaeota	Methanopyri	Methanopyrales	Methanopyraceae	Methanopyrus	Methanopyrus kandleri
Pyrobaculum neutrophilum V24Sta	444157	PRJNA15645	15645	Crenarchaeota	Thermoprotei	1.76982	59.9	NC_010525.1	CP001014.1	-	-	-	1	2059	1966	2008/03/27	2014/01/28	Complete	US DOE Joint Genome Institute (JGI-PGF)	SAMN02598332	GCA_000019805.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum neutrophilum
Ignicoccus hospitalis KIN4/I	453591	PRJNA13914	13914	Crenarchaeota	Thermoprotei	1.29754	56.5	NC_009776.1	CP000816.1	-	-	-	1	1495	1434	2007/08/29	2014/01/28	Complete	US DOE Joint Genome Institute	SAMN02598324	GCA_000017945.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Ignicoccus	Ignicoccus hospitalis
Methanoregula formicica SMSP	593750	PRJNA63567	63567	Euryarchaeota	Methanomicrobia	2.82086	55.2	NC_019943.1	CP003167.1	-	-	-	1	2924	2816	2012/12/21	2013/07/17	Complete	DOE Joint Genome Institute	SAMN02232038	GCA_000327485.1	REPR	Archaea	Euryarchaeota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	Methanoregula formicica
Thermococcus gammatolerans EJ3	593117	PRJNA33671	33671	Euryarchaeota	Thermococci	2.04544	53.6	NC_012804.1	CP001398.1	-	-	-	1	2210	2156	2009/06/12	2014/01/30	Complete	IGM/ Universit Paris-Sud, France	SAMN02603333	GCA_000022365.1	REPR	Archaea	Euryarchaeota	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus gammatolerans
Methanocella arvoryzae MRE50	351160	PRJNA19641	19641	Euryarchaeota	Methanomicrobia	3.17992	54.6	NC_009464.1	AM114193.2	-	-	-	1	3170	3089	2006/07/21	2013/06/10	Complete	Max Planck Institute	-	GCA_000063445.1	REPR	Archaea	Euryarchaeota	Methanomicrobia	Methanocellales	Methanocellaceae	Methanocella	Methanocella arvoryzae
Thermoproteus uzoniensis 768-20	999630	PRJNA64455	64455	Crenarchaeota	Thermoprotei	1.93606	59.7	NC_015315.1	CP002590.1	-	-	-	1	2229	2186	2011/03/28	2014/01/30	Complete	Centre Bioengineering RAS	SAMN02603093	GCA_000193375.1	REPR	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Thermoproteus	Thermoproteus uzoniensis
